,Units,scenario,region,Year,value
0,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,1975,2.877035859
1,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,1990,7.295419613999999
2,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2005,13.096461115599997
3,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2010,18.3840202204
4,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2015,22.31133879820001
5,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2020,32.81841256499003
6,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2025,34.81911591423002
7,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2030,37.968179510510105
8,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2035,39.133665868348096
9,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2040,39.73120523791513
10,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2045,41.316996600612406
11,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2050,42.0977185903952
12,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2055,42.99210638868575
13,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2060,42.981393967111885
14,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2065,44.75072655392224
15,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2070,46.41224504732479
16,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2075,48.63303001074065
17,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2080,50.74674950168083
18,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2085,52.31959608187714
19,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2090,53.512436042478214
20,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2095,54.29296812906023
21,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,2100,54.01032555836748
22,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Northern,1975,10.997501800000004
23,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Northern,1990,62.054194083800006
24,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Northern,2005,104.91401049798004
25,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Northern,2010,125.83799468381996
26,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Northern,2015,142.69347672577
27,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Northern,2020,168.29780755447533
28,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Northern,2025,172.28947353515548
