,Units,scenario,region,Year,value
0,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,1975,2.877035859
1,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,1990,7.295419613999999
2,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2005,13.096461115599997
3,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2010,18.3840202204
4,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2015,22.31133879820001
5,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2020,32.44118599982996
6,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2025,38.611064214299944
7,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2030,46.92979806099006
8,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2035,57.54983635242995
9,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2040,71.48222879154004
10,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2045,88.30779700668009
11,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2050,111.6063965457402
12,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2055,142.6324411520798
13,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2060,179.94169610619602
14,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2065,220.82310195547126
15,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2070,264.3499163628401
16,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2075,310.03003724091985
17,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2080,357.53327117043
18,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2085,407.4162923789995
19,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2090,457.1976977593997
20,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2095,508.1008147555002
21,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Eastern,2100,559.7004524818999
22,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,1975,10.997501800000004
23,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,1990,62.054194083800006
24,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2005,104.91401049798004
25,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2010,125.83799468381996
26,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2015,142.69347672577
27,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2020,165.0464108168169
28,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2025,187.5843772251685
29,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2030,211.4505401447877
30,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2035,232.67999769891867
31,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2040,252.7531234851783
32,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2045,274.14783601464023
33,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2050,295.40550594457056
34,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2055,317.6273640306654
35,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2060,338.59428063289755
36,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2065,351.7144132846613
37,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2070,362.7941369567776
38,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2075,370.92696901239066
39,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2080,374.8466173882482
40,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2085,382.67639603870265
41,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2090,390.6372437175952
42,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2095,398.67305102317886
43,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Northern,2100,407.38991658927034
44,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,1975,4.264416494
45,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,1990,10.153773092
46,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2005,11.119157374099998
47,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2010,14.087995343999998
48,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2015,20.892818256340007
49,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2020,29.135595580978993
50,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2025,35.023194967267756
51,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2030,43.18436197379808
52,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2035,52.799871965000314
53,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2040,65.62195378516631
54,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2045,83.73352991924837
55,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2050,108.02032149741531
56,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2055,140.04538242214963
57,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2060,179.62668422797375
58,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2065,223.0613968295218
59,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2070,271.4684295795662
60,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2075,321.8144950703581
61,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2080,370.753576156267
62,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2085,418.5337248842736
63,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2090,462.6542416917734
64,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2095,502.2838613027716
65,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Southern,2100,542.1629428634808
66,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,1975,5.65993855
67,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,1990,17.057191796999994
68,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2005,31.69999450911001
69,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2010,36.04074216037002
70,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2015,48.87009503978001
71,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2020,66.26747709649337
72,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2025,84.92366406846845
73,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2030,110.66648427802998
74,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2035,143.04787862146932
75,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2040,186.188866014546
76,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2045,244.52669232714658
77,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2050,323.1847806958559
78,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2055,418.87256861933935
79,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2060,532.4665228897852
80,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2065,654.8438477538798
81,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2070,783.2502316787428
82,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2075,910.5870117414063
83,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2080,1033.5846098894365
84,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2085,1153.540156853782
85,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2090,1265.9043985248982
86,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2095,1368.0032613074134
87,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Africa_Western,2100,1462.221320982162
88,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,1975,11.029971550000004
89,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,1990,28.6565529834
90,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2005,42.393505792999996
91,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2010,51.81652107199998
92,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2015,55.84299055699998
93,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2020,62.04597501121196
94,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2025,66.77434322588599
95,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2030,70.51015503527005
96,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2035,73.19851553536452
97,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2040,74.69500442068893
98,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2045,75.50696078006607
99,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2050,76.3730283418097
100,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2055,77.94964073575014
101,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2060,80.07087988899708
102,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2065,80.94110196099707
103,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2070,82.1801381861932
104,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2075,82.9428861121648
105,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2080,83.06578092528738
106,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2085,83.09438123946953
107,MTC,"GCAM_SSP2,date=2022-3-12T23:02:47+06:015",Argentina,2090,83.25110336272927
