,Units,scenario,region,sector,Year,value
0,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2025,0.021823124024773103
1,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2030,0.06886541172247632
2,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2035,0.0714382398728049
3,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2040,0.023296981235353176
4,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2045,-0.041554818338899624
5,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2050,-0.13001331926092863
6,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2055,-0.2717969308565653
7,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2060,-0.502897396067935
8,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2065,-0.6112484021793809
9,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2070,-0.56386699732116
10,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2075,-0.39796955001742434
11,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2080,-0.2660694384143421
12,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2085,-0.20628432567137767
13,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2090,-0.18975600933550418
14,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2095,-0.1922026290365789
15,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2100,-0.19388029042322047
16,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 wholesale dispensing,2025,0.0075170894724063
17,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 wholesale dispensing,2030,0.0398989189139626
18,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 wholesale dispensing,2035,0.1183413424157292
19,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 wholesale dispensing,2040,0.24603810320053138
20,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 wholesale dispensing,2045,0.4292690200258296
21,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 wholesale dispensing,2050,0.6408686952923002
22,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 wholesale dispensing,2055,0.8621406670595629
