,Units,scenario,region,sector,Year,value
0,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2025,0.02321013
1,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2030,0.11972474999999999
2,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2035,0.34154576999999997
3,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2040,0.68382943
4,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2045,1.0406660100000003
5,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2050,1.335899438
6,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2055,1.5705829649999998
7,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2060,1.787197917
8,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2065,1.7303603599999997
9,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2070,1.53419709
10,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2075,1.21655632
11,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2080,0.93769154
12,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2085,0.7671201
13,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2090,0.671496447
14,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2095,0.6149106590000001
15,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,H2 central production,2100,0.571364836
16,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2025,0.00254138
17,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2030,0.00487139
18,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2035,0.009924829999999999
19,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2040,0.018801909999999998
20,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2045,0.03142704
21,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2050,0.044488814
22,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2055,0.057606429
23,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2060,0.0697577136
24,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2065,0.07820590329999999
25,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2070,0.083713046
26,MTC,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Eastern,N fertilizer,2075,0.087127471
