,region,Year,value
0,Africa_Eastern,1975,28893.0
1,Africa_Eastern,1990,46850.0
2,Africa_Eastern,2005,85953.0
3,Africa_Eastern,2010,119402.0
4,Africa_Eastern,2015,151679.0
5,Africa_Eastern,2020,208669.0
6,Africa_Eastern,2025,291638.0
7,Africa_Eastern,2030,420803.0
8,Africa_Eastern,2035,615584.0
9,Africa_Eastern,2040,893279.0
10,Africa_Eastern,2045,1272800.0
11,Africa_Eastern,2050,1770670.0
12,Africa_Eastern,2055,2399950.0
13,Africa_Eastern,2060,3166160.0
14,Africa_Eastern,2065,4063380.0
15,Africa_Eastern,2070,5075490.0
16,Africa_Eastern,2075,6182120.0
17,Africa_Eastern,2080,7360830.0
18,Africa_Eastern,2085,8588260.0
19,Africa_Eastern,2090,9837190.0
20,Africa_Eastern,2095,11082400.0
21,Africa_Eastern,2100,12289300.0
22,Africa_Southern,1975,28497.0
23,Africa_Southern,1990,42717.0
24,Africa_Southern,2005,79377.0
25,Africa_Southern,2010,120196.0
26,Africa_Southern,2015,155391.0
27,Africa_Southern,2020,208966.0
28,Africa_Southern,2025,275512.0
29,Africa_Southern,2030,368619.0
30,Africa_Southern,2035,500099.0
31,Africa_Southern,2040,685091.0
32,Africa_Southern,2045,938654.0
33,Africa_Southern,2050,1274060.0
34,Africa_Southern,2055,1700220.0
35,Africa_Southern,2060,2221560.0
36,Africa_Southern,2065,2835380.0
37,Africa_Southern,2070,3531250.0
38,Africa_Southern,2075,4291860.0
39,Africa_Southern,2080,5109220.0
40,Africa_Southern,2085,5965160.0
41,Africa_Southern,2090,6839460.0
42,Africa_Southern,2095,7713090.0
43,Africa_Southern,2100,8561190.0
44,Africa_Western,1975,136747.0
45,Africa_Western,1990,167596.0
46,Africa_Western,2005,292856.0
47,Africa_Western,2010,393371.0
48,Africa_Western,2015,499850.0
49,Africa_Western,2020,682176.0
50,Africa_Western,2025,973355.0
51,Africa_Western,2030,1421060.0
52,Africa_Western,2035,2075330.0
53,Africa_Western,2040,2986550.0
54,Africa_Western,2045,4205930.0
55,Africa_Western,2050,5776850.0
56,Africa_Western,2055,7740510.0
57,Africa_Western,2060,10121400.0
58,Africa_Western,2065,12911500.0
59,Africa_Western,2070,16062700.0
60,Africa_Western,2075,19509200.0
61,Africa_Western,2080,23212500.0
62,Africa_Western,2085,27096300.0
63,Africa_Western,2090,31074600.0
64,Africa_Western,2095,35069300.0
65,Africa_Western,2100,38964500.0
66,Argentina,1975,136953.0
67,Argentina,1990,129111.0
68,Argentina,2005,221566.0
69,Argentina,2010,281343.0
70,Argentina,2015,302727.0
71,Argentina,2020,364216.0
72,Argentina,2025,437510.0
73,Argentina,2030,522157.0
74,Argentina,2035,617374.0
75,Argentina,2040,714394.0
76,Argentina,2045,806782.0
77,Argentina,2050,893056.0
78,Argentina,2055,973469.0
79,Argentina,2060,1047980.0
80,Argentina,2065,1115810.0
81,Argentina,2070,1174740.0
82,Argentina,2075,1221960.0
83,Argentina,2080,1261590.0
84,Argentina,2085,1292730.0
85,Argentina,2090,1315400.0
86,Argentina,2095,1329750.0
87,Argentina,2100,1334400.0
88,Australia_NZ,1975,295338.0
89,Australia_NZ,1990,475381.0
90,Australia_NZ,2005,772867.0
91,Australia_NZ,2010,882794.0
92,Australia_NZ,2015,1013760.0
93,Australia_NZ,2020,1192190.0
94,Australia_NZ,2025,1378850.0
95,Australia_NZ,2030,1584480.0
96,Australia_NZ,2035,1816240.0
97,Australia_NZ,2040,2067540.0
98,Australia_NZ,2045,2336230.0
99,Australia_NZ,2050,2603790.0
100,Australia_NZ,2055,2874300.0
