,region,Year,value
0,Africa_Western,1975,0.0
1,Africa_Western,1990,0.0
2,Africa_Western,2005,0.0
3,Africa_Western,2010,0.0
4,Africa_Western,2015,0.0
5,Africa_Western,2020,-0.0007368030948659619
6,Africa_Western,2025,0.03463542137247003
7,Africa_Western,2030,0.10639987542821551
8,Africa_Western,2035,0.20283882783882784
9,Africa_Western,2040,0.29621753000151907
10,Africa_Western,2045,0.37537687784906576
11,Africa_Western,2050,0.4337212447912401
12,Africa_Western,2055,0.469200078959556
13,Africa_Western,2060,0.48341284322993383
14,Africa_Western,2065,0.477650134014507
15,Africa_Western,2070,0.4535985448358868
16,Africa_Western,2075,0.41521765939080035
17,Africa_Western,2080,0.36889562484151184
18,Africa_Western,2085,0.3171574679901613
19,Africa_Western,2090,0.26154383286917127
20,Africa_Western,2095,0.20433597076842772
21,Africa_Western,2100,0.14606189666633332
22,Brazil,1975,0.0
23,Brazil,1990,0.0
24,Brazil,2005,0.0
25,Brazil,2010,0.0
26,Brazil,2015,0.0
27,Brazil,2020,-0.002227515680538014
28,Brazil,2025,0.01776022561879673
29,Brazil,2030,0.06272467636672745
30,Brazil,2035,0.1280523952361513
31,Brazil,2040,0.1919170911510994
32,Brazil,2045,0.24729186190678534
33,Brazil,2050,0.29065566410842936
34,Brazil,2055,0.32139017124368685
35,Brazil,2060,0.33996981684311617
36,Brazil,2065,0.34602115277048345
37,Brazil,2070,0.3396532903367951
38,Brazil,2075,0.3236528507652941
39,Brazil,2080,0.30140620193906165
40,Brazil,2085,0.2728057253233641
41,Brazil,2090,0.23628501345022776
42,Brazil,2095,0.19281471470280462
43,Brazil,2100,0.14288457146846759
44,China,1975,0.0
45,China,1990,0.0
46,China,2005,0.0
47,China,2010,0.0
48,China,2015,0.0
49,China,2020,0.01035981932908159
50,China,2025,0.06082482079232221
51,China,2030,0.14040542306660522
52,China,2035,0.22721600969708494
53,China,2040,0.2881195049263435
54,China,2045,0.3245849059346218
55,China,2050,0.34013417091813575
56,China,2055,0.3384219829664149
57,China,2060,0.32349622719856386
58,China,2065,0.29901214098736895
59,China,2070,0.26692523835826987
60,China,2075,0.22918989002996307
61,China,2080,0.19071258134915192
62,China,2085,0.1510029782931999
63,China,2090,0.11034652152893658
64,China,2095,0.06799012669185686
65,China,2100,0.02191014305001678
66,India,1975,0.0
67,India,1990,0.0
68,India,2005,0.0
69,India,2010,0.0
70,India,2015,0.0
71,India,2020,-0.0006656903208627346
72,India,2025,0.03137778843170986
73,India,2030,0.09682692699352351
74,India,2035,0.1809435440814288
75,India,2040,0.2556856740155562
76,India,2045,0.31353833046715995
77,India,2050,0.3501283824533146
78,India,2055,0.3684169515228442
79,India,2060,0.3702688119731453
80,India,2065,0.3578548028186426
81,India,2070,0.33268632744421284
82,India,2075,0.29737038532604043
83,India,2080,0.2578946785658923
84,India,2085,0.21525223962891207
85,India,2090,0.16910294823464722
86,India,2095,0.1205147497600083
87,India,2100,0.07045704489584681
88,South Asia,1975,0.0
89,South Asia,1990,0.0
90,South Asia,2005,0.0
91,South Asia,2010,0.0
92,South Asia,2015,0.0
93,South Asia,2020,-0.0025497808745205894
94,South Asia,2025,0.02560591389302386
95,South Asia,2030,0.08976836558180254
96,South Asia,2035,0.17975228731637902
97,South Asia,2040,0.26427750845606934
98,South Asia,2045,0.33352416009984054
99,South Asia,2050,0.3811063475362314
100,South Asia,2055,0.40610365356992295
101,South Asia,2060,0.40922724030158397
102,South Asia,2065,0.39222884010480624
103,South Asia,2070,0.3581588250541863
104,South Asia,2075,0.3112884115176712
105,South Asia,2080,0.2575747269016846
106,South Asia,2085,0.199435545095001
107,South Asia,2090,0.13879969246076612
108,South Asia,2095,0.07729684142516506
109,South Asia,2100,0.015379028810055113
