,region,Year,value
0,Africa_Western,1975,136747.0
1,Africa_Western,1990,167596.0
2,Africa_Western,2005,292856.0
3,Africa_Western,2010,393371.0
4,Africa_Western,2015,499850.0
5,Africa_Western,2020,682679.0
6,Africa_Western,2025,940771.0
7,Africa_Western,2030,1284400.0
8,Africa_Western,2035,1725360.0
9,Africa_Western,2040,2304050.0
10,Africa_Western,2045,3058020.0
11,Africa_Western,2050,4029270.0
12,Africa_Western,2055,5268520.0
13,Africa_Western,2060,6823050.0
14,Africa_Western,2065,8737860.0
15,Africa_Western,2070,11050300.0
16,Africa_Western,2075,13785300.0
17,Africa_Western,2080,16957100.0
18,Africa_Western,2085,20571800.0
19,Africa_Western,2090,24632200.0
20,Africa_Western,2095,29119200.0
21,Africa_Western,2100,33998600.0
22,Brazil,1975,479174.0
23,Brazil,1990,786901.0
24,Brazil,2005,1170820.0
25,Brazil,2010,1457110.0
26,Brazil,2015,1542290.0
27,Brazil,2020,1876530.0
28,Brazil,2025,2205490.0
29,Brazil,2030,2517510.0
30,Brazil,2035,2817050.0
31,Brazil,2040,3125360.0
32,Brazil,2045,3435940.0
33,Brazil,2050,3742160.0
34,Brazil,2055,4055040.0
35,Brazil,2060,4373300.0
36,Brazil,2065,4684020.0
37,Brazil,2070,4992650.0
38,Brazil,2075,5311030.0
39,Brazil,2080,5624370.0
40,Brazil,2085,5932940.0
41,Brazil,2090,6241530.0
42,Brazil,2095,6555620.0
43,Brazil,2100,6874990.0
44,China,1975,182652.0
45,China,1990,620812.0
46,China,2005,2490310.0
47,China,2010,4193840.0
48,China,2015,6072280.0
49,China,2020,8866950.0
50,China,2025,11815900.0
51,China,2030,14537900.0
52,China,2035,16829800.0
53,China,2040,18857800.0
54,China,2045,20639900.0
55,China,2050,22031600.0
56,China,2055,23025100.0
57,China,2060,23841700.0
58,China,2065,24487300.0
59,China,2070,24983400.0
60,China,2075,25297800.0
61,China,2080,25522700.0
62,China,2085,25618700.0
63,China,2090,25649200.0
64,China,2095,25644900.0
65,China,2100,25627400.0
66,India,1975,157355.0
67,India,1990,306659.0
68,India,2005,730410.0
69,India,2010,1088920.0
70,India,2015,1513410.0
71,India,2020,2103080.0
72,India,2025,2836720.0
73,India,2030,3682550.0
74,India,2035,4645040.0
75,India,2040,5746900.0
76,India,2045,6972130.0
77,India,2050,8307210.0
78,India,2055,9753460.0
79,India,2060,11305300.0
80,India,2065,12942400.0
81,India,2070,14631500.0
82,India,2075,16344600.0
83,India,2080,18062800.0
84,India,2085,19768900.0
85,India,2090,21460300.0
86,India,2095,23125800.0
87,India,2100,24732800.0
88,South Asia,1975,46052.0
89,South Asia,1990,101808.0
90,South Asia,2005,197864.0
91,South Asia,2010,251936.0
92,South Asia,2015,323687.0
93,South Asia,2020,423958.0
94,South Asia,2025,553544.0
95,South Asia,2030,710473.0
96,South Asia,2035,896684.0
97,South Asia,2040,1124636.0
98,South Asia,2045,1397428.0
99,South Asia,2050,1719297.0
100,South Asia,2055,2096908.0
101,South Asia,2060,2537270.0
102,South Asia,2065,3045620.0
103,South Asia,2070,3626380.0
104,South Asia,2075,4278990.0
105,South Asia,2080,4998200.0
106,South Asia,2085,5782570.0
107,South Asia,2090,6633300.0
108,South Asia,2095,7553090.0
109,South Asia,2100,8536950.0
