region,Year,technology,value
Africa_Western,2005,Electric,0.00289463
Africa_Western,2010,Electric,0.004180629999999999
Africa_Western,2015,Electric,0.001011418
Africa_Western,2020,Electric,0.0068849
Africa_Western,2025,BEV,6.356852360899
Africa_Western,2025,Electric,0.01279829
Africa_Western,2025,FCEV,2.1494449419999997
Africa_Western,2030,BEV,29.5196456392
Africa_Western,2030,Electric,0.023407715
Africa_Western,2030,FCEV,9.905233159999998
Africa_Western,2035,BEV,55.97837159883
Africa_Western,2035,Electric,0.04358063
Africa_Western,2035,FCEV,24.724576248000005
Africa_Western,2040,BEV,78.3172560809
Africa_Western,2040,Electric,0.0694539066
Africa_Western,2040,FCEV,30.257240621999994
Africa_Western,2045,BEV,98.25854631600002
Africa_Western,2045,Electric,0.11652496600000001
Africa_Western,2045,FCEV,31.420010459999997
Africa_Western,2050,BEV,122.12872498
Africa_Western,2050,Electric,0.18940657
Africa_Western,2050,FCEV,35.3286548
Africa_Western,2055,BEV,142.04906332999997
Africa_Western,2055,Electric,0.30106532
Africa_Western,2055,FCEV,38.8904542
Africa_Western,2060,BEV,167.93776680000002
Africa_Western,2060,Electric,0.46280276000000004
Africa_Western,2060,FCEV,45.47039
Africa_Western,2065,BEV,197.12800799000001
Africa_Western,2065,Electric,0.69076903
Africa_Western,2065,FCEV,53.080220600000004
Africa_Western,2070,BEV,230.0177811
Africa_Western,2070,Electric,1.0040377900000002
Africa_Western,2070,FCEV,61.7254213
Africa_Western,2075,BEV,264.6984036
Africa_Western,2075,Electric,1.4067969400000002
Africa_Western,2075,FCEV,72.555508
Africa_Western,2080,BEV,299.1311633
Africa_Western,2080,Electric,1.9110204
Africa_Western,2080,FCEV,83.8422942
Africa_Western,2085,BEV,328.4116954
Africa_Western,2085,Electric,2.52039186
Africa_Western,2085,FCEV,94.2090667
Africa_Western,2090,BEV,355.5324259
Africa_Western,2090,Electric,3.24580715
Africa_Western,2090,FCEV,104.63321769999997
Africa_Western,2095,BEV,379.508727
Africa_Western,2095,Electric,4.07212337
Africa_Western,2095,FCEV,114.17961360000001
Africa_Western,2100,BEV,403.2142483999999
Africa_Western,2100,Electric,4.99404489
Africa_Western,2100,FCEV,122.1609179
Brazil,1975,Electric,2.76373
Brazil,1990,Electric,3.20894
Brazil,2005,Electric,2.34067
Brazil,2010,Electric,2.88432
Brazil,2015,Electric,2.82737
Brazil,2020,Electric,3.5650673000000004
Brazil,2025,BEV,44.4298637252
Brazil,2025,Electric,3.8041460000000002
Brazil,2025,FCEV,6.78714739
Brazil,2030,BEV,75.69247177199999
Brazil,2030,Electric,4.051597
Brazil,2030,FCEV,22.733579499999998
Brazil,2035,BEV,85.13766553369
Brazil,2035,Electric,4.373996
Brazil,2035,FCEV,30.166703585
Brazil,2040,BEV,89.2036910804
Brazil,2040,Electric,4.8018909999999995
Brazil,2040,FCEV,30.882251321000002
Brazil,2045,BEV,84.290650653
Brazil,2045,Electric,5.178464
Brazil,2045,FCEV,28.647652089999998
Brazil,2050,BEV,88.32612248
Brazil,2050,Electric,5.529323
Brazil,2050,FCEV,30.409300919999996
Brazil,2055,BEV,88.47988904999998
Brazil,2055,Electric,5.812335
Brazil,2055,FCEV,30.85611571
Brazil,2060,BEV,88.47171472
Brazil,2060,Electric,6.139627
Brazil,2060,FCEV,30.923637269999997
Brazil,2065,BEV,88.84509424999999
Brazil,2065,Electric,6.399842
Brazil,2065,FCEV,30.83085147
Brazil,2070,BEV,88.7442469
Brazil,2070,Electric,6.6992910000000006
Brazil,2070,FCEV,30.144239389999996
Brazil,2075,BEV,88.83664130000003
Brazil,2075,Electric,7.002179999999999
Brazil,2075,FCEV,30.034586629999996
Brazil,2080,BEV,88.0489798
Brazil,2080,Electric,7.20778
Brazil,2080,FCEV,29.673061179999998
Brazil,2085,BEV,87.14813668
Brazil,2085,Electric,7.39548
Brazil,2085,FCEV,29.30839173
Brazil,2090,BEV,86.3947566
Brazil,2090,Electric,7.579650000000001
Brazil,2090,FCEV,29.06700533
Brazil,2095,BEV,85.64755071
Brazil,2095,Electric,7.76533
Brazil,2095,FCEV,28.72687461
Brazil,2100,BEV,84.71075334
Brazil,2100,Electric,7.92042
Brazil,2100,FCEV,28.33298187
China,1975,Electric,1.242924
China,1990,BEV,5.57966e-05
China,1990,Electric,3.8218199999999998
China,2005,BEV,0.000145045
China,2005,Electric,20.79619
China,2010,BEV,0.000159906
China,2010,Electric,26.8425
China,2015,BEV,0.000150065
China,2015,Electric,29.1381
China,2020,Electric,22.858638
China,2025,BEV,66.188903436
China,2025,Electric,21.409692
China,2025,FCEV,18.71993827
China,2030,BEV,131.12155775899998
China,2030,Electric,13.20307
China,2030,FCEV,68.1789426
China,2035,BEV,212.4577895424
China,2035,Electric,7.42033
China,2035,FCEV,142.9781954
China,2040,BEV,229.92949117599997
China,2040,Electric,7.27349
China,2040,FCEV,137.6883388
China,2045,BEV,213.06602567000002
China,2045,Electric,10.66245
China,2045,FCEV,110.24718
China,2050,BEV,223.1277415
China,2050,Electric,11.62379
China,2050,FCEV,104.54567200000001
China,2055,BEV,198.35975220000003
China,2055,Electric,11.75935
China,2055,FCEV,103.85246300000001
China,2060,BEV,194.79450690000002
China,2060,Electric,11.513269999999999
China,2060,FCEV,102.862935
China,2065,BEV,192.3353025
China,2065,Electric,11.338280000000001
China,2065,FCEV,99.664094
China,2070,BEV,188.06839979999995
China,2070,Electric,11.35535
China,2070,FCEV,95.623305
China,2075,BEV,183.71668280000003
China,2075,Electric,11.09746
China,2075,FCEV,93.93733000000002
China,2080,BEV,174.0653932
China,2080,Electric,10.55167
China,2080,FCEV,91.14670299999999
China,2085,BEV,166.69380599999997
China,2085,Electric,10.283180000000002
China,2085,FCEV,88.953984
China,2090,BEV,161.17631619999997
China,2090,Electric,10.14579
China,2090,FCEV,87.58631299999999
China,2095,BEV,157.2979242
China,2095,Electric,10.07188
China,2095,FCEV,86.11521800000001
China,2100,BEV,153.8167048
China,2100,Electric,10.081760000000001
China,2100,FCEV,85.61010499999999
India,1975,Electric,3.25005
India,1990,Electric,5.5032
India,2005,Electric,13.72894
India,2010,Electric,8.66919
India,2015,Electric,9.816410000000001
India,2020,Electric,12.125456
India,2025,BEV,12.7506046916
India,2025,Electric,12.382989
India,2025,FCEV,6.381603113
India,2030,BEV,48.073844643
India,2030,Electric,10.533487
India,2030,FCEV,26.915289229999996
India,2035,BEV,108.25187622109999
India,2035,Electric,7.583301
India,2035,FCEV,66.87673794999999
India,2040,BEV,138.24372982000003
India,2040,Electric,8.342087
India,2040,FCEV,72.27732613
India,2045,BEV,148.09667667000005
India,2045,Electric,10.32137
India,2045,FCEV,61.81659947000001
India,2050,BEV,163.78302988000002
India,2050,Electric,11.11846
India,2050,FCEV,58.6112203
India,2055,BEV,164.08379658999996
India,2055,Electric,11.6403
India,2055,FCEV,58.879413799999995
India,2060,BEV,176.71877099999998
India,2060,Electric,11.80316
India,2060,FCEV,61.572738400000006
India,2065,BEV,189.95102490000005
India,2065,Electric,12.01359
India,2065,FCEV,62.4271376
India,2070,BEV,204.92968129999997
India,2070,Electric,12.43948
India,2070,FCEV,62.7009795
India,2075,BEV,223.2296344
India,2075,Electric,12.61766
India,2075,FCEV,66.33535440000001
India,2080,BEV,236.80484539999998
India,2080,Electric,12.5751
India,2080,FCEV,68.99913559999999
India,2085,BEV,246.7265227
India,2085,Electric,12.46558
India,2085,FCEV,71.0150935
India,2090,BEV,255.29093240000003
India,2090,Electric,12.44035
India,2090,FCEV,72.77493670000001
India,2095,BEV,263.5005704
India,2095,Electric,12.39484
India,2095,FCEV,73.51344999999999
India,2100,BEV,271.39859110000003
India,2100,Electric,12.431049999999999
India,2100,FCEV,73.9655559
South Asia,1975,Electric,0.01511583
South Asia,1990,Electric,0.00755795
South Asia,2005,Electric,0.0055461
South Asia,2010,Electric,0.0004495177
South Asia,2015,Electric,0.000926379
South Asia,2020,Electric,0.0073868779999999995
South Asia,2025,BEV,5.130655297199
South Asia,2025,Electric,0.012423309999999998
South Asia,2025,FCEV,2.3826298756
South Asia,2030,BEV,20.8642384147
South Asia,2030,Electric,0.019969021999999996
South Asia,2030,FCEV,10.659638222999998
South Asia,2035,BEV,42.348596064780004
South Asia,2035,Electric,0.030900849999999997
South Asia,2035,FCEV,27.367168195999998
South Asia,2040,BEV,54.321864613399995
South Asia,2040,Electric,0.051621190000000004
South Asia,2040,FCEV,31.415434241
South Asia,2045,BEV,57.091818347
South Asia,2045,Electric,0.07904391100000001
South Asia,2045,FCEV,27.5692177
South Asia,2050,BEV,63.013401749
South Asia,2050,Electric,0.11913068
South Asia,2050,FCEV,26.978399070000002
South Asia,2055,BEV,62.23480302500001
South Asia,2055,Electric,0.15755839899999996
South Asia,2055,FCEV,26.93163994
South Asia,2060,BEV,68.65455100999999
South Asia,2060,Electric,0.22117140300000002
South Asia,2060,FCEV,28.57350623
South Asia,2065,BEV,75.084953774
South Asia,2065,Electric,0.30606333999999996
South Asia,2065,FCEV,29.331771839999995
South Asia,2070,BEV,81.786601594
South Asia,2070,Electric,0.42181208299999995
South Asia,2070,FCEV,28.944525059999997
South Asia,2075,BEV,89.89953766499998
South Asia,2075,Electric,0.5621465809999999
South Asia,2075,FCEV,30.090204500000002
South Asia,2080,BEV,97.896426461
South Asia,2080,Electric,0.725692397
South Asia,2080,FCEV,31.287584240000005
South Asia,2085,BEV,105.677066732
South Asia,2085,Electric,0.9187111030000001
South Asia,2085,FCEV,32.89062682
South Asia,2090,BEV,113.22188471899999
