,Units,scenario,region,fuel,Year,value
0,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,1990,0.719223
1,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2005,1.18855
2,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2010,1.3494
3,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2015,1.7949564
4,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2020,2.508478
5,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2025,2.848324
6,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2030,3.244081
7,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2035,3.5983739999999997
8,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2040,4.030734
9,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2045,4.645111
10,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2050,5.349692
11,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2055,6.02654
12,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2060,6.43943
13,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2065,6.52634
14,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2070,6.2652600000000005
15,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2075,5.93944
16,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2080,5.55264
17,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2085,5.0810200000000005
18,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2090,4.5687
19,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2095,4.08613
20,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,a oil,2100,3.66216
21,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,1975,0.00539993
22,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,1990,0.1407329
23,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2005,0.469809
24,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2010,0.50095
25,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2015,0.7914656720000001
26,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2020,1.207258
27,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2025,1.538378
28,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2030,2.092622
29,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2035,2.896561
30,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2040,4.13051
31,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2045,5.70239
32,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2050,7.25959
33,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2055,8.48462
34,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2060,9.06414
35,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2065,8.90762
36,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2070,8.36777
37,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2075,7.64975
38,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2080,7.04223
39,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2085,6.60707
40,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2090,6.26126
41,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2095,5.93163
42,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,b natural gas,2100,5.5982199999999995
43,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,1975,0.01440949
44,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,1990,0.0184709
45,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2005,0.02041141
46,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2010,0.02872887
47,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2015,0.03399122
48,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2020,0.0519243
49,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2025,0.06293214
50,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2030,0.0827972
51,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2035,0.1045063
52,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2040,0.1329108
53,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2045,0.16170779999999998
54,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2050,0.1789547
55,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2055,0.1804134
56,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2060,0.1537929
57,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2065,0.1272073
58,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2070,0.1091956
59,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2075,0.09454781999999999
60,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2080,0.08228893999999999
61,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2085,0.0716991
62,EJ,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",Africa_Western,c coal,2090,0.06218235
