,Units,scenario,Year,value
0,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",1975,0.0338
1,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",1980,0.249086
2,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",1985,0.262505
3,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",1990,0.417984
4,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",1995,0.384619
5,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2000,0.612469
6,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2005,0.73481
7,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2010,0.858692
8,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2015,1.01154
9,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2020,1.15463
10,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2025,1.28499
11,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2030,1.43801
12,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2035,1.59956
13,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2040,1.76659
14,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2045,1.94081
15,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2050,2.12526
16,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2055,2.3083
17,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2060,2.49074
18,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2065,2.67216
19,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2070,2.85067
20,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2075,3.02594
21,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2080,3.19857
22,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2085,3.36698
23,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2090,3.53406
24,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2095,3.69697
25,degreesC,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",2100,3.85469
