,region,scenario,input,Year,value
0,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2005,0.012137400041
1,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2010,0.017482424012999997
2,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2015,0.028226722512000004
3,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2020,0.043416745551999994
4,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2025,0.054945055237099985
5,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2030,0.06769961207249998
6,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2035,0.07943698039866
7,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2040,0.09490109988531
8,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2045,0.11728140234701
9,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2050,0.14194558074761998
10,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2055,0.16360122128322996
11,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2060,0.17411900050295998
12,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2065,0.17500140413957
13,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2070,0.16970439188435998
14,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2075,0.16082333732216003
15,Africa_Western,"SPA1GCAM_SSP1,date=2023-21-11T12:23:14+06:015",c coal,2080,0.1497889411937499
