,Year,region,mode,technology,value
1,2005,Africa_Western,rail,Electric,1.819983e-05
6,2005,Brazil,rail,Electric,0.00378939
12,2005,China,rail,Electric,0.09793389999999999
14,2005,China,road,BEV,3.99947e-07
15,2005,China,road,LA-BEV,0.0184397
20,2005,India,rail,Electric,0.035649799999999995
26,2005,South Asia,rail,Electric,8.77985e-05
32,2010,Africa_Western,rail,Electric,4.13996e-05
37,2010,Brazil,rail,Electric,0.00550848
43,2010,China,rail,Electric,0.1954304
45,2010,China,road,BEV,7.99892e-07
46,2010,China,road,LA-BEV,0.036797
51,2010,India,rail,Electric,0.0475202
57,2010,South Asia,rail,Electric,4.2098800000000004e-05
63,2015,Africa_Western,rail,Electric,4.07995e-05
68,2015,Brazil,rail,Electric,0.00688988
75,2015,China,rail,Electric,0.2861119
77,2015,China,road,BEV,1.09985e-06
78,2015,China,road,LA-BEV,0.0538712
83,2015,India,rail,Electric,0.0597364
89,2015,South Asia,rail,Electric,4.26988e-05
95,2020,Africa_Western,rail,Electric,5.886003e-05
102,2020,Brazil,rail,Electric,0.022021905999999997
110,2020,China,rail,Electric,0.30799638799999995
113,2020,China,road,LA-BEV,0.0250513
119,2020,India,rail,Electric,0.105979947
127,2020,South Asia,rail,Electric,0.00010167299999999999
135,2025,Africa_Western,rail,BEV,5.83665e-05
136,2025,Africa_Western,rail,Electric,7.43217e-05
137,2025,Africa_Western,rail,FCEV,9.47584e-05
140,2025,Africa_Western,road,BEV,0.005386839224761999
141,2025,Africa_Western,road,FCEV,0.001011588266
147,2025,Brazil,rail,BEV,0.000378682
148,2025,Brazil,rail,Electric,0.025476256
149,2025,Brazil,rail,FCEV,0.00069937
152,2025,Brazil,road,BEV,0.0568954324816
153,2025,Brazil,road,FCEV,0.0071982511200000005
160,2025,China,rail,BEV,0.00736282
161,2025,China,rail,Electric,0.331655356
162,2025,China,rail,FCEV,0.0128716
165,2025,China,road,BEV,0.12864116973519
166,2025,China,road,FCEV,0.01430370196
168,2025,China,road,LA-BEV,0.0126699
174,2025,India,rail,BEV,0.000944205
175,2025,India,rail,Electric,0.10886376
176,2025,India,rail,FCEV,0.00176362
179,2025,India,road,BEV,0.0220759451
180,2025,India,road,FCEV,0.0059851714769999995
187,2025,South Asia,rail,BEV,6.55867e-05
188,2025,South Asia,rail,Electric,0.00016268199999999999
189,2025,South Asia,rail,FCEV,6.774e-05
192,2025,South Asia,road,BEV,0.00751601700422
193,2025,South Asia,road,FCEV,0.0014090722930000003
200,2030,Africa_Western,rail,BEV,0.000321211
201,2030,Africa_Western,rail,Electric,9.442669999999999e-05
202,2030,Africa_Western,rail,FCEV,0.000407643
205,2030,Africa_Western,road,BEV,0.020869356838115
206,2030,Africa_Western,road,FCEV,0.006903301081
212,2030,Brazil,rail,BEV,0.00189784
213,2030,Brazil,rail,Electric,0.028971112
214,2030,Brazil,rail,FCEV,0.00272745
217,2030,Brazil,road,BEV,0.1452960200274
218,2030,Brazil,road,FCEV,0.03767871932
225,2030,China,rail,BEV,0.0481469
226,2030,China,rail,Electric,0.31056701000000003
227,2030,China,rail,FCEV,0.0576676
230,2030,China,road,BEV,0.22915956177602997
231,2030,China,road,FCEV,0.06562170538999999
233,2030,China,road,LA-BEV,0.00644161
239,2030,India,rail,BEV,0.00560981
240,2030,India,rail,Electric,0.10604097000000001
241,2030,India,rail,FCEV,0.00807531
244,2030,India,road,BEV,0.082956619493
245,2030,India,road,FCEV,0.03426760846
