,region,scenario,technology,Year,value
0,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2005,0.5572319411100001
1,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2010,0.78429825037
2,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2015,0.92796167978
3,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2020,1.4157404028
4,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2025,1.608731885342
5,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2030,1.9089341693150002
6,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2035,2.100375894887
7,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2040,2.315786472076
8,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2045,2.534464888529
9,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2050,2.6497464214490005
10,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2055,2.6507445996539993
11,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2060,2.5267438646896996
12,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2065,2.3443070082206994
13,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2070,2.14965416296613
14,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2075,1.9328772498248
15,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2080,1.7061278681795
16,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2085,1.4757296807687998
17,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2090,1.2470786262359002
18,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2095,1.027485574526
19,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",c coal,2100,0.8219654743146998
20,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2005,8.401300000127065e-05
21,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2010,-0.00047302499999890557
22,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2015,1.5050000007121866e-05
23,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2020,-0.1691194044000106
24,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2025,-1.7205052032000197
25,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2030,-6.734304989200012
26,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2035,-16.655009725099973
27,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2040,-29.224451536199965
28,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2045,-39.83364392078993
29,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2050,-47.41793856836
30,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2055,-53.138800704947975
31,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2060,-54.85575217901998
32,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2065,-52.52684104951304
33,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2070,-46.690114645708825
34,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2075,-41.42004716775001
35,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2080,-37.35566825731
36,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2085,-33.7068239223
37,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2090,-29.429767909629998
38,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2095,-23.97826646589
39,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",d biomass,2100,-18.167029333736004
40,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2005,1.6521270000000001
41,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2010,2.0538536
42,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2015,2.1685749999999997
43,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2020,3.25731
44,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2025,4.30135272
45,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2030,5.79213876
46,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2035,7.63570291
47,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2040,9.841151860000002
48,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2045,11.76604803
49,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2050,12.696003769999999
50,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2055,13.03674879
51,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2060,13.19648414
52,Africa_Western,"GCAM_SSP1,date=2023-9-2T07:30:56+06:015",electricity,2065,13.2918181
