,Year,region,mode,technology,value
1,2005,Africa_Western,rail,Electric,1.819983e-05
6,2005,Brazil,rail,Electric,0.00378939
12,2005,China,rail,Electric,0.09793389999999999
14,2005,China,road,BEV,3.99947e-07
15,2005,China,road,LA-BEV,0.0184397
20,2005,India,rail,Electric,0.035649799999999995
26,2005,South Asia,rail,Electric,8.77985e-05
32,2010,Africa_Western,rail,Electric,4.13996e-05
37,2010,Brazil,rail,Electric,0.00550848
43,2010,China,rail,Electric,0.1954304
45,2010,China,road,BEV,7.99892e-07
46,2010,China,road,LA-BEV,0.036797
51,2010,India,rail,Electric,0.0475202
57,2010,South Asia,rail,Electric,4.2098800000000004e-05
63,2015,Africa_Western,rail,Electric,4.07995e-05
68,2015,Brazil,rail,Electric,0.00688988
75,2015,China,rail,Electric,0.2861119
77,2015,China,road,BEV,1.09985e-06
78,2015,China,road,LA-BEV,0.0538712
83,2015,India,rail,Electric,0.0597364
89,2015,South Asia,rail,Electric,4.26988e-05
95,2020,Africa_Western,rail,Electric,5.38501e-05
102,2020,Brazil,rail,Electric,0.008624476399999999
110,2020,China,rail,Electric,0.36253475700000004
113,2020,China,road,LA-BEV,0.0436871
119,2020,India,rail,Electric,0.075061701
127,2020,South Asia,rail,Electric,7.508189e-05
135,2025,Africa_Western,rail,BEV,8.28132e-05
136,2025,Africa_Western,rail,Electric,6.8619e-05
137,2025,Africa_Western,rail,FCEV,0.000136252
140,2025,Africa_Western,road,BEV,0.012834366461489999
141,2025,Africa_Western,road,FCEV,0.00180946439
147,2025,Brazil,rail,BEV,0.000478354
148,2025,Brazil,rail,Electric,0.010251807
149,2025,Brazil,rail,FCEV,0.000887149
152,2025,Brazil,road,BEV,0.0839601742627
153,2025,Brazil,road,FCEV,0.009496385700000002
160,2025,China,rail,BEV,0.0100484
161,2025,China,rail,Electric,0.41940344
162,2025,China,rail,FCEV,0.0180139
165,2025,China,road,BEV,0.1798879130831
166,2025,China,road,FCEV,0.017673471200000002
168,2025,China,road,LA-BEV,0.0230136
174,2025,India,rail,BEV,0.00105688
175,2025,India,rail,Electric,0.08805320999999999
176,2025,India,rail,FCEV,0.00197903
179,2025,India,road,BEV,0.019246710251
180,2025,India,road,FCEV,0.004884412029999999
187,2025,South Asia,rail,BEV,7.13735e-05
188,2025,South Asia,rail,Electric,0.00012103959999999999
189,2025,South Asia,rail,FCEV,7.76351e-05
192,2025,South Asia,road,BEV,0.006716076736320001
193,2025,South Asia,road,FCEV,0.001347664584
200,2030,Africa_Western,rail,BEV,0.000449801
201,2030,Africa_Western,rail,Electric,8.38677e-05
202,2030,Africa_Western,rail,FCEV,0.000583966
205,2030,Africa_Western,road,BEV,0.059830273025899994
206,2030,Africa_Western,road,FCEV,0.012438867562000001
212,2030,Brazil,rail,BEV,0.00230969
213,2030,Brazil,rail,Electric,0.011795751
214,2030,Brazil,rail,FCEV,0.00334674
217,2030,Brazil,road,BEV,0.2033375753074
218,2030,Brazil,road,FCEV,0.044505186110000004
225,2030,China,rail,BEV,0.0670864
226,2030,China,rail,Electric,0.4043285
227,2030,China,rail,FCEV,0.0839114
230,2030,China,road,BEV,0.3715577999191
231,2030,China,road,FCEV,0.08249979830000001
233,2030,China,road,LA-BEV,0.0131995
239,2030,India,rail,BEV,0.00654703
240,2030,India,rail,Electric,0.093559522
241,2030,India,rail,FCEV,0.00946017
244,2030,India,road,BEV,0.0880358305101
245,2030,India,road,FCEV,0.0316093592
