,region,Year,value
5,Africa_Western,2020,0.7089268070372701
7,Africa_Western,2030,7.45829040810352
11,Africa_Western,2050,55.63750432176375
17,Africa_Western,2080,57.458688756359045
21,Africa_Western,2100,62.42065107083903
27,Brazil,2020,13.607001051000001
29,Brazil,2030,30.794628771
33,Brazil,2050,74.448139781
39,Brazil,2080,134.28702521534788
43,Brazil,2100,172.99353352133392
49,China,2020,97.8548
51,China,2030,287.627066985
55,China,2050,667.7341853610001
61,China,2080,809.4561123081203
65,China,2100,930.5179027727768
71,India,2020,21.1985701851
73,India,2030,52.22163970970001
77,India,2050,141.919869521237
83,India,2080,110.78411083300406
87,India,2100,100.4453123804954
93,Pakistan,2020,0.4004868
95,Pakistan,2030,2.2046641561239997
99,Pakistan,2050,11.439923643460642
105,Pakistan,2080,11.383644703940222
109,Pakistan,2100,13.729594707658933
115,South Asia,2020,0.1836676
117,South Asia,2030,3.2984425
121,South Asia,2050,10.22932487938
127,South Asia,2080,7.849994302075979
131,South Asia,2100,8.533182455388324
