,region,Year,sector,value
0,Africa_Western,2030,agricultural energy use,0.0002190283
1,Africa_Western,2030,aluminum,0.05805887
2,Africa_Western,2030,cement,0.019679965
3,Africa_Western,2030,chemical energy use,0.002343538
4,Africa_Western,2030,comm cooling,0.0466345
5,Africa_Western,2030,comm others,0.20254
6,Africa_Western,2030,construction energy use,0.0010338631
7,Africa_Western,2030,desalinated water,8.74001e-05
8,Africa_Western,2030,industrial wastewater treatment,0.00109803
9,Africa_Western,2030,industrial water abstraction,0.000823859
10,Africa_Western,2030,industrial water treatment,0.00112802
11,Africa_Western,2030,iron and steel,0.0079372691887
12,Africa_Western,2030,irrigation water abstraction,0.0035931
13,Africa_Western,2030,mining energy use,0.0038618767
14,Africa_Western,2030,municipal wastewater treatment,0.00761711
15,Africa_Western,2030,municipal water abstraction,0.00492974
16,Africa_Western,2030,municipal water distribution,0.0139425
17,Africa_Western,2030,municipal water treatment,0.0132525
18,Africa_Western,2030,other industrial energy use,0.2133456
19,Africa_Western,2030,resid cooling,0.231475
20,Africa_Western,2030,resid others,0.301469
21,Africa_Western,2030,trn_freight,0.0003401684
22,Africa_Western,2030,trn_freight_road,0.003376867938115
23,Africa_Western,2030,trn_pass,7.54693e-05
24,Africa_Western,2030,trn_pass_road,0.0021043
25,Africa_Western,2030,trn_pass_road_LDV,0.0053717
26,Africa_Western,2030,trn_pass_road_LDV_4W,0.0100164889
27,Africa_Western,2050,agricultural energy use,0.002598894
28,Africa_Western,2050,aluminum,0.3169829263
29,Africa_Western,2050,cement,0.0691583955
30,Africa_Western,2050,chemical energy use,0.013887580100000001
31,Africa_Western,2050,comm cooling,0.255188
32,Africa_Western,2050,comm others,2.06769
33,Africa_Western,2050,construction energy use,0.0018027408500000002
34,Africa_Western,2050,desalinated water,0.000178453
35,Africa_Western,2050,industrial wastewater treatment,0.00537094
36,Africa_Western,2050,industrial water abstraction,0.00182362
37,Africa_Western,2050,industrial water treatment,0.00249688
38,Africa_Western,2050,iron and steel,0.040246026604
39,Africa_Western,2050,irrigation water abstraction,0.00494306
40,Africa_Western,2050,mining energy use,0.00555962234
41,Africa_Western,2050,municipal wastewater treatment,0.0292042
42,Africa_Western,2050,municipal water abstraction,0.00864733
43,Africa_Western,2050,municipal water distribution,0.0244593
44,Africa_Western,2050,municipal water treatment,0.0232464
45,Africa_Western,2050,other industrial energy use,1.8619961369999998
46,Africa_Western,2050,resid cooling,0.939638
47,Africa_Western,2050,resid others,3.21881
48,Africa_Western,2050,trn_aviation_intl,2.63387e-05
49,Africa_Western,2050,trn_freight,0.0023941708
50,Africa_Western,2050,trn_freight_road,0.202541880139
51,Africa_Western,2050,trn_pass,0.0130261531
52,Africa_Western,2050,trn_pass_road,0.00966206
53,Africa_Western,2050,trn_pass_road_LDV,0.00350216
54,Africa_Western,2050,trn_pass_road_LDV_4W,0.042732981
55,Africa_Western,2050,trn_shipping_intl,0.000109472
56,Africa_Western,2085,agricultural energy use,0.00504229
57,Africa_Western,2085,aluminum,0.57774578
58,Africa_Western,2085,cement,0.1014791083
59,Africa_Western,2085,chemical energy use,0.071750892118167
60,Africa_Western,2085,comm cooling,1.20452
61,Africa_Western,2085,comm others,8.73586
62,Africa_Western,2085,construction energy use,0.0026175410999999997
63,Africa_Western,2085,desalinated water,0.000287319
64,Africa_Western,2085,industrial wastewater treatment,0.0137665
65,Africa_Western,2085,industrial water abstraction,0.00298788
66,Africa_Western,2085,industrial water treatment,0.00409097
67,Africa_Western,2085,iron and steel,0.07988409876
68,Africa_Western,2085,irrigation water abstraction,0.00605542
69,Africa_Western,2085,mining energy use,0.0058584704
70,Africa_Western,2085,municipal wastewater treatment,0.0739719
71,Africa_Western,2085,municipal water abstraction,0.0140466
72,Africa_Western,2085,municipal water distribution,0.0397272
73,Africa_Western,2085,municipal water treatment,0.0377612
74,Africa_Western,2085,other industrial energy use,10.13966171
75,Africa_Western,2085,resid cooling,2.27002
76,Africa_Western,2085,resid others,7.49279
77,Africa_Western,2085,trn_aviation_intl,0.00408004
78,Africa_Western,2085,trn_freight,0.0318700996
79,Africa_Western,2085,trn_freight_road,1.04547499
80,Africa_Western,2085,trn_pass,0.7601699981
81,Africa_Western,2085,trn_pass_road,0.00558538
82,Africa_Western,2085,trn_pass_road_LDV,0.00193239
83,Africa_Western,2085,trn_pass_road_LDV_4W,0.12416439199999998
84,Africa_Western,2085,trn_shipping_intl,0.0144319
85,Brazil,2030,agricultural energy use,0.10509893
86,Brazil,2030,aluminum,0.08821475
87,Brazil,2030,cement,0.029253582999999996
88,Brazil,2030,chemical energy use,0.12908579999999997
89,Brazil,2030,comm cooling,0.215189
90,Brazil,2030,comm heating,0.0172058
91,Brazil,2030,comm others,0.609223
92,Brazil,2030,construction energy use,5.04191e-05
93,Brazil,2030,desalinated water,0.000603914
94,Brazil,2030,industrial wastewater treatment,0.0197365
95,Brazil,2030,industrial water abstraction,0.00479111
96,Brazil,2030,industrial water treatment,0.00892311
97,Brazil,2030,iron and steel,0.16131161281
98,Brazil,2030,irrigation water abstraction,0.00606435
99,Brazil,2030,mining energy use,0.0671454096
100,Brazil,2030,municipal wastewater treatment,0.0214049
101,Brazil,2030,municipal water abstraction,0.00671758
102,Brazil,2030,municipal water distribution,0.0174388
103,Brazil,2030,municipal water treatment,0.0165639
104,Brazil,2030,other industrial energy use,0.6652472
105,Brazil,2030,resid cooling,0.165767
106,Brazil,2030,resid heating,0.0158438
107,Brazil,2030,resid others,0.737847
108,Brazil,2030,trn_freight,0.00189784
109,Brazil,2030,trn_freight_road,0.004543760027400001
110,Brazil,2030,trn_pass,0.028971112
111,Brazil,2030,trn_pass_road,0.00433278
112,Brazil,2030,trn_pass_road_LDV,0.0275104
113,Brazil,2030,trn_pass_road_LDV_4W,0.10890908
114,Brazil,2050,agricultural energy use,0.18386848
115,Brazil,2050,aluminum,0.091557375
116,Brazil,2050,cement,0.035259922900000004
117,Brazil,2050,chemical energy use,0.19489667600000002
118,Brazil,2050,comm cooling,0.310836
119,Brazil,2050,comm heating,0.029353
120,Brazil,2050,comm others,1.24579
121,Brazil,2050,construction energy use,0.0010130826
122,Brazil,2050,desalinated water,0.000755815
123,Brazil,2050,industrial wastewater treatment,0.0317597
124,Brazil,2050,industrial water abstraction,0.00557847
125,Brazil,2050,industrial water treatment,0.0103895
126,Brazil,2050,iron and steel,0.2397153019
127,Brazil,2050,irrigation water abstraction,0.00689724
128,Brazil,2050,mining energy use,0.08771150600000002
129,Brazil,2050,municipal wastewater treatment,0.0328545
130,Brazil,2050,municipal water abstraction,0.00748521
131,Brazil,2050,municipal water distribution,0.0194366
132,Brazil,2050,municipal water treatment,0.0184567
133,Brazil,2050,other industrial energy use,1.71821146
134,Brazil,2050,resid cooling,0.244951
135,Brazil,2050,resid heating,0.0291525
136,Brazil,2050,resid others,1.32432
137,Brazil,2050,trn_aviation_intl,2.32641e-05
138,Brazil,2050,trn_freight,0.007774039999999999
139,Brazil,2050,trn_freight_road,0.12348706282000001
140,Brazil,2050,trn_pass,0.0488612
141,Brazil,2050,trn_pass_road,0.0186039
142,Brazil,2050,trn_pass_road_LDV,0.020766
143,Brazil,2050,trn_pass_road_LDV_4W,0.23163719
144,Brazil,2050,trn_shipping_intl,0.000201197
145,Brazil,2085,agricultural energy use,0.21371102999999997
146,Brazil,2085,aluminum,0.053496251
147,Brazil,2085,cement,0.02787073221
148,Brazil,2085,chemical energy use,0.1639611949283
149,Brazil,2085,comm cooling,0.229486
150,Brazil,2085,comm heating,0.028127
151,Brazil,2085,comm others,1.71043
152,Brazil,2085,construction energy use,0.0021591830000000003
153,Brazil,2085,desalinated water,0.000536857
154,Brazil,2085,industrial wastewater treatment,0.0347687
155,Brazil,2085,industrial water abstraction,0.00531904
156,Brazil,2085,industrial water treatment,0.00990634
157,Brazil,2085,iron and steel,0.17841562369999997
158,Brazil,2085,irrigation water abstraction,0.00703756
