,region,Year,sector,value
0,Africa_Western,2030,agricultural energy use,0.0002190283
1,Africa_Western,2030,aluminum,0.05805887
2,Africa_Western,2030,cement,0.019679965
3,Africa_Western,2030,chemical energy use,0.002343538
4,Africa_Western,2030,comm cooling,0.0466345
5,Africa_Western,2030,comm others,0.20254
6,Africa_Western,2030,construction energy use,0.0010338631
7,Africa_Western,2030,desalinated water,8.74001e-05
8,Africa_Western,2030,industrial wastewater treatment,0.00109803
9,Africa_Western,2030,industrial water abstraction,0.000823859
10,Africa_Western,2030,industrial water treatment,0.00112802
11,Africa_Western,2030,iron and steel,0.0079372691887
12,Africa_Western,2030,irrigation water abstraction,0.0035931
13,Africa_Western,2030,mining energy use,0.0038618767
14,Africa_Western,2030,municipal wastewater treatment,0.00761711
15,Africa_Western,2030,municipal water abstraction,0.00492974
16,Africa_Western,2030,municipal water distribution,0.0139425
17,Africa_Western,2030,municipal water treatment,0.0132525
18,Africa_Western,2030,other industrial energy use,0.2133456
19,Africa_Western,2030,resid cooling,0.231475
20,Africa_Western,2030,resid others,0.301469
21,Africa_Western,2030,transport,0.021284994538115
22,Africa_Western,2050,agricultural energy use,0.002598894
23,Africa_Western,2050,aluminum,0.3169829263
24,Africa_Western,2050,cement,0.0691583955
25,Africa_Western,2050,chemical energy use,0.013887580100000001
26,Africa_Western,2050,comm cooling,0.255188
27,Africa_Western,2050,comm others,2.06769
28,Africa_Western,2050,construction energy use,0.0018027408500000002
29,Africa_Western,2050,desalinated water,0.000178453
30,Africa_Western,2050,industrial wastewater treatment,0.00537094
31,Africa_Western,2050,industrial water abstraction,0.00182362
32,Africa_Western,2050,industrial water treatment,0.00249688
33,Africa_Western,2050,iron and steel,0.040246026604
34,Africa_Western,2050,irrigation water abstraction,0.00494306
35,Africa_Western,2050,mining energy use,0.00555962234
36,Africa_Western,2050,municipal wastewater treatment,0.0292042
37,Africa_Western,2050,municipal water abstraction,0.00864733
38,Africa_Western,2050,municipal water distribution,0.0244593
39,Africa_Western,2050,municipal water treatment,0.0232464
40,Africa_Western,2050,other industrial energy use,1.8619961369999998
41,Africa_Western,2050,resid cooling,0.939638
42,Africa_Western,2050,resid others,3.21881
43,Africa_Western,2050,transport,0.273995215739
44,Africa_Western,2085,agricultural energy use,0.00504229
45,Africa_Western,2085,aluminum,0.57774578
46,Africa_Western,2085,cement,0.1014791083
47,Africa_Western,2085,chemical energy use,0.071750892118167
48,Africa_Western,2085,comm cooling,1.20452
49,Africa_Western,2085,comm others,8.73586
50,Africa_Western,2085,construction energy use,0.0026175410999999997
51,Africa_Western,2085,desalinated water,0.000287319
52,Africa_Western,2085,industrial wastewater treatment,0.0137665
53,Africa_Western,2085,industrial water abstraction,0.00298788
54,Africa_Western,2085,industrial water treatment,0.00409097
55,Africa_Western,2085,iron and steel,0.07988409876
56,Africa_Western,2085,irrigation water abstraction,0.00605542
57,Africa_Western,2085,mining energy use,0.0058584704
58,Africa_Western,2085,municipal wastewater treatment,0.0739719
59,Africa_Western,2085,municipal water abstraction,0.0140466
60,Africa_Western,2085,municipal water distribution,0.0397272
61,Africa_Western,2085,municipal water treatment,0.0377612
62,Africa_Western,2085,other industrial energy use,10.13966171
63,Africa_Western,2085,resid cooling,2.27002
64,Africa_Western,2085,resid others,7.49279
65,Africa_Western,2085,transport,1.9877091896999997
66,Brazil,2030,agricultural energy use,0.10509893
67,Brazil,2030,aluminum,0.08821475
68,Brazil,2030,cement,0.029253582999999996
69,Brazil,2030,chemical energy use,0.12908579999999997
70,Brazil,2030,comm cooling,0.215189
71,Brazil,2030,comm heating,0.0172058
72,Brazil,2030,comm others,0.609223
73,Brazil,2030,construction energy use,5.04191e-05
74,Brazil,2030,desalinated water,0.000603914
75,Brazil,2030,industrial wastewater treatment,0.0197365
76,Brazil,2030,industrial water abstraction,0.00479111
77,Brazil,2030,industrial water treatment,0.00892311
78,Brazil,2030,iron and steel,0.16131161281
79,Brazil,2030,irrigation water abstraction,0.00606435
80,Brazil,2030,mining energy use,0.0671454096
81,Brazil,2030,municipal wastewater treatment,0.0214049
82,Brazil,2030,municipal water abstraction,0.00671758
83,Brazil,2030,municipal water distribution,0.0174388
84,Brazil,2030,municipal water treatment,0.0165639
85,Brazil,2030,other industrial energy use,0.6652472
86,Brazil,2030,resid cooling,0.165767
87,Brazil,2030,resid heating,0.0158438
88,Brazil,2030,resid others,0.737847
89,Brazil,2030,transport,0.1761649720274
90,Brazil,2050,agricultural energy use,0.18386848
91,Brazil,2050,aluminum,0.091557375
92,Brazil,2050,cement,0.035259922900000004
93,Brazil,2050,chemical energy use,0.19489667600000002
94,Brazil,2050,comm cooling,0.310836
95,Brazil,2050,comm heating,0.029353
96,Brazil,2050,comm others,1.24579
97,Brazil,2050,construction energy use,0.0010130826
98,Brazil,2050,desalinated water,0.000755815
99,Brazil,2050,industrial wastewater treatment,0.0317597
100,Brazil,2050,industrial water abstraction,0.00557847
101,Brazil,2050,industrial water treatment,0.0103895
102,Brazil,2050,iron and steel,0.2397153019
103,Brazil,2050,irrigation water abstraction,0.00689724
104,Brazil,2050,mining energy use,0.08771150600000002
105,Brazil,2050,municipal wastewater treatment,0.0328545
106,Brazil,2050,municipal water abstraction,0.00748521
107,Brazil,2050,municipal water distribution,0.0194366
108,Brazil,2050,municipal water treatment,0.0184567
109,Brazil,2050,other industrial energy use,1.71821146
110,Brazil,2050,resid cooling,0.244951
111,Brazil,2050,resid heating,0.0291525
112,Brazil,2050,resid others,1.32432
113,Brazil,2050,transport,0.45135385392
114,Brazil,2085,agricultural energy use,0.21371102999999997
115,Brazil,2085,aluminum,0.053496251
116,Brazil,2085,cement,0.02787073221
117,Brazil,2085,chemical energy use,0.1639611949283
118,Brazil,2085,comm cooling,0.229486
119,Brazil,2085,comm heating,0.028127
120,Brazil,2085,comm others,1.71043
121,Brazil,2085,construction energy use,0.0021591830000000003
122,Brazil,2085,desalinated water,0.000536857
123,Brazil,2085,industrial wastewater treatment,0.0347687
124,Brazil,2085,industrial water abstraction,0.00531904
125,Brazil,2085,industrial water treatment,0.00990634
126,Brazil,2085,iron and steel,0.17841562369999997
127,Brazil,2085,irrigation water abstraction,0.00703756
128,Brazil,2085,mining energy use,0.07651902199999999
129,Brazil,2085,municipal wastewater treatment,0.0324236
130,Brazil,2085,municipal water abstraction,0.00643999
131,Brazil,2085,municipal water distribution,0.0167196
132,Brazil,2085,municipal water treatment,0.0158794
133,Brazil,2085,other industrial energy use,3.15444341
134,Brazil,2085,resid cooling,0.229674
135,Brazil,2085,resid heating,0.0431266
136,Brazil,2085,resid others,1.51708
137,Brazil,2085,transport,0.8914325939999999
138,China,2030,agricultural energy use,0.39680121
139,China,2030,aluminum,1.3817424
140,China,2030,cement,0.443424
141,China,2030,chemical energy use,3.798663
142,China,2030,comm cooling,1.38378
143,China,2030,comm heating,0.350641
144,China,2030,comm others,4.74609
145,China,2030,construction energy use,0.326238801
146,China,2030,desalinated water,0.000367084
147,China,2030,industrial wastewater treatment,0.295124
148,China,2030,industrial water abstraction,0.0568576
149,China,2030,industrial water treatment,0.108324
150,China,2030,iron and steel,3.2969223954
151,China,2030,irrigation water abstraction,0.0913608
152,China,2030,mining energy use,0.438442484
153,China,2030,municipal wastewater treatment,0.131553
154,China,2030,municipal water abstraction,0.0328347
155,China,2030,municipal water distribution,0.0870161
156,China,2030,municipal water treatment,0.0827964
157,China,2030,other industrial energy use,7.7954669999999995
158,China,2030,resid cooling,1.1269
159,China,2030,resid heating,0.0402805
160,China,2030,resid others,6.86104
161,China,2030,transport,0.59431508177603
162,China,2050,agricultural energy use,0.6076837499999999
163,China,2050,aluminum,1.2064932000000002
164,China,2050,cement,0.34237011999999994
165,China,2050,chemical energy use,5.3917078
166,China,2050,comm cooling,1.26137
167,China,2050,comm heating,0.635449
168,China,2050,comm others,8.47838
169,China,2050,construction energy use,0.394275196
170,China,2050,desalinated water,0.000259349
