,region,Year,sector,value
0,Africa_Western,2030,N fertilizer,0.000509836
1,Africa_Western,2030,agricultural energy use,0.0003667365
2,Africa_Western,2030,comm others,2.91478e-07
3,Africa_Western,2030,construction energy use,2.9967359999999998e-05
4,Africa_Western,2030,iron and steel,7.277512e-05
5,Africa_Western,2030,mining energy use,5.09619e-05
6,Africa_Western,2030,other industrial energy use,0.006619386999999999
7,Africa_Western,2030,process heat cement,0.0029915980000000003
8,Africa_Western,2030,trn_freight,0.000407643
9,Africa_Western,2030,trn_freight_road,0.0028277784389999995
10,Africa_Western,2030,trn_pass_road,0.00313979
11,Africa_Western,2030,trn_pass_road_LDV_4W,0.0009357326419999999
12,Africa_Western,2050,N fertilizer,0.0066050527
13,Africa_Western,2050,agricultural energy use,0.0016649117
14,Africa_Western,2050,comm others,9.6781e-06
15,Africa_Western,2050,construction energy use,0.00017221399
16,Africa_Western,2050,iron and steel,0.00085122457
17,Africa_Western,2050,mining energy use,0.0003090018
18,Africa_Western,2050,other industrial energy use,0.10947990400000002
19,Africa_Western,2050,process heat cement,0.0658946833
20,Africa_Western,2050,trn_aviation_intl,0.000248812
21,Africa_Western,2050,trn_freight,0.00218478
22,Africa_Western,2050,trn_freight_road,0.09055700979999998
23,Africa_Western,2050,trn_pass,0.00947286
24,Africa_Western,2050,trn_pass_road,0.0100695
25,Africa_Western,2050,trn_pass_road_LDV_4W,0.0058963925800000015
26,Africa_Western,2050,trn_shipping_intl,0.00126005
27,Africa_Western,2085,N fertilizer,0.0184167808
28,Africa_Western,2085,agricultural energy use,0.002101981
29,Africa_Western,2085,chemical energy use,0.0065656985
30,Africa_Western,2085,comm others,7.3514e-05
31,Africa_Western,2085,construction energy use,0.0002990223
32,Africa_Western,2085,iron and steel,0.0060749284
33,Africa_Western,2085,mining energy use,0.0006264438
34,Africa_Western,2085,other industrial energy use,0.50930237
35,Africa_Western,2085,process heat cement,0.29953152400000005
36,Africa_Western,2085,trn_aviation_intl,0.0228529
37,Africa_Western,2085,trn_freight,0.00683789
38,Africa_Western,2085,trn_freight_road,0.33497835
39,Africa_Western,2085,trn_pass,0.316305
40,Africa_Western,2085,trn_pass_road,0.00573141
41,Africa_Western,2085,trn_pass_road_LDV_4W,0.020026831400000004
42,Africa_Western,2085,trn_shipping_intl,0.0728612
43,Brazil,2030,N fertilizer,0.000582231
44,Brazil,2030,agricultural energy use,0.00607149
45,Brazil,2030,comm heating,2.01238e-06
46,Brazil,2030,comm others,2.42031e-05
47,Brazil,2030,construction energy use,0.0001703888
48,Brazil,2030,iron and steel,0.0023429999
49,Brazil,2030,mining energy use,0.001224352
50,Brazil,2030,other industrial energy use,0.0027982
51,Brazil,2030,process heat cement,0.00024919500099999996
52,Brazil,2030,resid heating,2.10285e-06
53,Brazil,2030,resid others,7.71504e-05
54,Brazil,2030,trn_freight,0.00272745
55,Brazil,2030,trn_freight_road,0.0016011093199999999
56,Brazil,2030,trn_pass_road,0.00603338
57,Brazil,2030,trn_pass_road_LDV_4W,0.03004423
58,Brazil,2050,N fertilizer,0.0116237142
59,Brazil,2050,agricultural energy use,0.01978999
60,Brazil,2050,comm heating,1.00521e-05
61,Brazil,2050,comm others,0.000133367
62,Brazil,2050,construction energy use,0.0012461522
63,Brazil,2050,iron and steel,0.0042896315
64,Brazil,2050,mining energy use,0.004421329
65,Brazil,2050,other industrial energy use,0.0317500597
66,Brazil,2050,process heat cement,0.002320732875
67,Brazil,2050,resid heating,1.1437e-05
68,Brazil,2050,resid others,0.000374323
69,Brazil,2050,trn_aviation_intl,0.000182071
70,Brazil,2050,trn_freight,0.009630869
71,Brazil,2050,trn_freight_road,0.027573438999999998
72,Brazil,2050,trn_pass,0.00415012
73,Brazil,2050,trn_pass_road,0.0185649
74,Brazil,2050,trn_pass_road_LDV_4W,0.083955522
75,Brazil,2050,trn_shipping_intl,0.00171753
76,Brazil,2085,N fertilizer,0.026589746200000004
77,Brazil,2085,agricultural energy use,0.02502387
78,Brazil,2085,chemical energy use,0.0186902633
79,Brazil,2085,comm heating,7.09682e-05
80,Brazil,2085,comm others,0.00110509
81,Brazil,2085,construction energy use,0.0024546240000000003
82,Brazil,2085,iron and steel,0.0088402593
83,Brazil,2085,mining energy use,0.00508973
84,Brazil,2085,other industrial energy use,0.1896949709
85,Brazil,2085,process heat cement,0.0592159796
86,Brazil,2085,resid heating,0.000129198
87,Brazil,2085,resid others,0.00261165
88,Brazil,2085,trn_aviation_intl,0.00720938
89,Brazil,2085,trn_freight,0.024526
90,Brazil,2085,trn_freight_road,0.15571904
91,Brazil,2085,trn_pass,0.0651218
92,Brazil,2085,trn_pass_road,0.0133281
93,Brazil,2085,trn_pass_road_LDV_4W,0.09779363
94,Brazil,2085,trn_shipping_intl,0.0727372
95,China,2030,N fertilizer,0.01740407
96,China,2030,agricultural energy use,0.01606155
97,China,2030,comm heating,0.00567738
98,China,2030,comm others,0.00174135
99,China,2030,construction energy use,0.008797909999999999
100,China,2030,iron and steel,0.10614410999999999
101,China,2030,mining energy use,0.002921192
102,China,2030,other industrial energy use,0.0041392370000000005
103,China,2030,resid heating,0.0163291
104,China,2030,resid others,0.0124318
105,China,2030,trn_freight,0.0576676
106,China,2030,trn_freight_road,0.00796897589
107,China,2030,trn_pass_road,0.0438335
108,China,2030,trn_pass_road_LDV_4W,0.013819229499999999
109,China,2050,N fertilizer,0.212969475
110,China,2050,agricultural energy use,0.04862146
111,China,2050,comm heating,0.0335075
112,China,2050,comm others,0.0093388
113,China,2050,construction energy use,0.030259759999999997
114,China,2050,iron and steel,0.32259271
115,China,2050,mining energy use,0.009689051
116,China,2050,other industrial energy use,0.0390181609
117,China,2050,process heat cement,0.07540089999999999
118,China,2050,resid heating,0.12311
119,China,2050,resid others,0.0602324
120,China,2050,trn_aviation_intl,0.00127251
121,China,2050,trn_freight,0.2445242
122,China,2050,trn_freight_road,0.1224990526
123,China,2050,trn_pass,0.074787
124,China,2050,trn_pass_road,0.122955
125,China,2050,trn_pass_road_LDV_4W,0.03188412220000001
126,China,2050,trn_shipping_intl,0.0162795
127,China,2085,N fertilizer,0.33651428399999994
128,China,2085,agricultural energy use,0.04541829
129,China,2085,chemical energy use,0.055425866
130,China,2085,comm heating,0.150062
131,China,2085,comm others,0.0219929
132,China,2085,construction energy use,0.024485970000000003
133,China,2085,iron and steel,0.7001019900000001
