,Units,scenario,region,sector,subsector,technology,Year,value
0,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2005,0.847869
1,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2010,0.83843
2,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2015,0.814838
3,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2020,0.793208
4,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2025,0.77806
5,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2030,0.76313
6,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2035,0.20258
7,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2040,0.18188
8,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2045,0.161426
9,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2050,0.141985
10,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2055,0.142295
11,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2060,0.142314
12,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2065,0.142299
13,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2070,0.141948
14,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2075,0.141587
15,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2080,0.141262
16,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2085,0.141188
17,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2090,0.141044
18,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2095,0.141086
19,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2100,0.141178
20,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2005,0.918755
21,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2010,0.895551
22,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2015,0.873489
23,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2020,0.897051
24,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2025,0.881978
25,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2030,0.865126
26,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2035,0.225479
27,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2040,0.193226
28,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2045,0.164406
29,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2050,0.139418
30,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2055,0.139669
31,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2060,0.139588
32,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2065,0.13945
33,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2070,0.138987
34,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2075,0.138543
35,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2080,0.138237
36,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2085,0.138205
37,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2090,0.138102
38,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2095,0.138253
39,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2100,0.138441
40,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2005,0.0762458
41,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2010,0.0845499
42,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2015,0.0851009
43,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2020,0.085327
44,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2025,0.0768753
45,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2030,0.0721189
46,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2035,0.0709538
47,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2040,0.0706154
48,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2045,0.0700178
49,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2050,0.0693438
50,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2055,0.06942
51,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2060,0.0694237
52,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2065,0.069546
53,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2070,0.0697223
54,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2075,0.0699536
55,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2080,0.0700924
56,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2085,0.0700348
57,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2090,0.069837
58,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2095,0.0696383
59,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_aviation_intl,International Aviation,Liquids,2100,0.0694583
60,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2005,0.320424
61,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2010,0.330841
62,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2015,0.318154
63,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2020,0.307303
64,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2025,0.300078
65,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2030,0.145057
66,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2035,0.140733
67,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2040,0.135413
68,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2045,0.129925
69,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2050,0.125505
70,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2055,0.125984
71,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2060,0.126013
72,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2065,0.125991
73,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2070,0.125449
74,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2075,0.124892
75,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2080,0.124389
76,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2085,0.124276
77,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2090,0.124054
78,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2095,0.124118
79,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,BEV,2100,0.12426
80,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2005,0.281418
81,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2010,0.274331
82,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2015,0.267572
83,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2020,0.329869
84,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2025,0.325187
85,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2030,0.317114
86,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2035,0.150489
87,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2040,0.142029
88,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2045,0.13333
89,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2050,0.125897
90,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2055,0.126285
91,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2060,0.12616
92,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2065,0.125946
93,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2070,0.125231
94,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2075,0.124545
95,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2080,0.124074
96,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2085,0.124024
97,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2090,0.123865
98,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2095,0.124098
99,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Hydrogen,2100,0.124388
100,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2005,0.102927
101,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2010,0.116127
102,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2015,0.117332
103,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2020,0.118012
104,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2025,0.106001
105,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2030,0.0991581
106,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2035,0.0972023
107,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2040,0.0968098
108,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2045,0.0960035
109,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2050,0.0950878
110,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2055,0.0952055
111,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2060,0.0952111
112,1990$/pass-km,"SSP2GCAM_SSP2,date=2023-22-11T14:08:28+06:015",Africa_Western,trn_pass,Domestic Aviation,Liquids,2065,0.0954
