,Units,scenario,region,sector,subsector,technology,Year,value
0,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2005,0.847869
1,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2010,0.83843
2,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2015,0.814838
3,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2020,0.792618
4,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2025,0.780353
5,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2030,0.767323
6,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2035,0.208035
7,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2040,0.187527
8,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2045,0.166805
9,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2050,0.146049
10,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2055,0.144697
11,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2060,0.143461
12,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2065,0.142393
13,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2070,0.141693
14,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2075,0.141071
15,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2080,0.140584
16,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2085,0.140171
17,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2090,0.139822
18,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2095,0.139536
19,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,BEV,2100,0.139336
20,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2005,0.918755
21,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2010,0.895551
22,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2015,0.873489
23,1990$/pass-km,"SSP1GCAM_SSP1,date=2023-23-11T16:32:58+06:015",Africa_Western,trn_aviation_intl,International Aviation,Hydrogen,2020,0.896827
